dt,txs,unique_addresses,utilization,ma7_line_unique_users,ma7_line_txs,ma7_line_utilization
2021-07-05T00:00:00+00:00,4096939,109697,0.22231908410301029846,91768.500000000000,5584396.875000000000,0.21984670426104629974
2021-07-04T00:00:00+00:00,4534170,86544,0.21584846696366763188,88269.125000000000,5541121.250000000000,0.22128559759538523134
2021-07-03T00:00:00+00:00,4921022,82793,0.21410924019174362359,86640.000000000000,5436687.500000000000,0.22284385660633190400
2021-07-02T00:00:00+00:00,4724657,83696,0.19665508677317742151,86930.750000000000,5364313.125000000000,0.23196606101835294364
2021-07-01T00:00:00+00:00,7316812,92066,0.20806188943467984525,87393.750000000000,5473651.375000000000,0.24759805676733845732
2021-06-30T00:00:00+00:00,7008164,88508,0.22850204040064901967,87000.125000000000,5217307.875000000000,0.26681708805343795998
2021-06-29T00:00:00+00:00,7054968,103291,0.24288835748532507653,87099.500000000000,5117743.250000000000,0.28277921682681799273
2021-06-28T00:00:00+00:00,5018443,87553,0.23038946873611748099,85472.250000000000,5065763.750000000000,0.30035889410264553080
2021-06-27T00:00:00+00:00,3750734,81702,0.23383023077772175129,84811.000000000000,5037508.125000000000,0.31990717581527136147
2021-06-26T00:00:00+00:00,3698700,73511,0.22831453905124101316,85062.625000000000,5165324.125000000000,0.32766533445281331293
2021-06-25T00:00:00+00:00,4342027,85119,0.28708687548791194070,87491.625000000000,5336928.000000000000,0.33061987976942763575
2021-06-24T00:00:00+00:00,5599363,87400,0.32171105276506153098,90959.500000000000,5786450.375000000000,0.32910514881979315432
2021-06-23T00:00:00+00:00,5266064,88917,0.36181413972347586649,93925.250000000000,6059030.375000000000,0.31404138422043687142
2021-06-22T00:00:00+00:00,6211647,89303,0.35619907058768928171,96060.625000000000,6016408.875000000000,0.30030564626622710744
2021-06-21T00:00:00+00:00,6639132,90273,0.38352577569194538104,95709.500000000000,5760986.750000000000,0.28743783977253484284
2021-06-20T00:00:00+00:00,4792398,82263,0.38677572243712412642,92847.250000000000,5388211.125000000000,0.26994222749699261399
2021-06-19T00:00:00+00:00,4773262,83715,0.29589549987805736297,90713.250000000000,5184932.625000000000,0.25258762142960372909
2021-06-18T00:00:00+00:00,5071531,92943,0.25195090158415559572,89767.250000000000,5101773.375000000000,0.24370917931074360929
2021-06-17T00:00:00+00:00,7938206,112862,0.27496902789083608920,86745.000000000000,4908166.750000000000,0.24252630270810724009
2021-06-16T00:00:00+00:00,7780003,111126,0.20120093597021126778,80355.750000000000,4299161.750000000000,0.23828712278508180822
2021-06-15T00:00:00+00:00,4925092,106000,0.25192823608979775467,73719.625000000000,3658860.375000000000,0.24731019915983560512
2021-06-14T00:00:00+00:00,4168270,86494,0.25325661863815116495,68267.500000000000,3334892.250000000000,0.24898609708745711838
2021-06-13T00:00:00+00:00,3656927,67375,0.24356087748760755019,63196.375000000000,3106243.250000000000,0.24801245462682158507
2021-06-12T00:00:00+00:00,3166170,65191,0.24793887389801304722,60767.500000000000,3086496.250000000000,0.23932348537941039028
2021-06-11T00:00:00+00:00,4107988,76147,0.22486796292717640456,58609.250000000000,3036430.250000000000,0.23386508503465825557
2021-06-10T00:00:00+00:00,3522678,68765,0.24248788876306464217,55627.125000000000,2795099.000000000000,0.23896150869921802631
2021-06-09T00:00:00+00:00,3066166,61748,0.24105558850663263418,55342.000000000000,2662438.375000000000,0.24005515768553754107
2021-06-08T00:00:00+00:00,2657592,58037,0.27338554696824164301,53784.375000000000,2582490.125000000000,0.24193104599344021863
2021-06-07T00:00:00+00:00,2333347,62383,0.26533541951076986072,52049.500000000000,2522954.000000000000,0.24050253377003482845
2021-06-06T00:00:00+00:00,2339078,45925,0.24546747895306689847,49209.000000000000,2512751.000000000000,0.23709155572410026701
2021-06-05T00:00:00+00:00,3498951,47944,0.17404912350831799191,48128.000000000000,2518695.250000000000,0.23350510952979821592
2021-06-04T00:00:00+00:00,2765642,47925,0.20427167113999596952,47283.000000000000,2431883.125000000000,0.23783568770436283345
2021-06-03T00:00:00+00:00,2177338,52290,0.26563935224365457051,46612.875000000000,2368165.625000000000,0.24437590004396671960
2021-06-02T00:00:00+00:00,2461393,66484,0.25123708065362076020,45235.875000000000,2399026.875000000000,0.23807839218180078811
2021-06-01T00:00:00+00:00,2426580,49287,0.25606269496985405469,41599.500000000000,2419436.500000000000,0.23112611462347373364
2021-05-31T00:00:00+00:00,2181303,44158,0.26195744918099852160,39785.250000000000,2424945.375000000000,0.22433020003155336728
2021-05-30T00:00:00+00:00,2251723,39659,0.23804759514329336916,37930.750000000000,2471001.750000000000,0.21415095050766842714
2021-05-29T00:00:00+00:00,2386632,37277,0.21677590939865048975,36496.125000000000,2391639.500000000000,0.21312224651077427284
2021-05-28T00:00:00+00:00,2804454,41184,0.20869374890483493217,36093.375000000000,2376915.000000000000,0.21293678127917741104
2021-05-27T00:00:00+00:00,2255902,42564,0.25659336985682705873,35353.125000000000,2341366.750000000000,0.21255969644132709059
2021-05-26T00:00:00+00:00,2424228,41274,0.21525928934632711859,34701.625000000000,2548701.000000000000,0.20161448995130654385
2021-05-25T00:00:00+00:00,2624670,37393,0.19561886018700432439,34344.500000000000,2555784.250000000000,0.19676698150198840022
2021-05-24T00:00:00+00:00,2470651,34773,0.20169537823449112388,33318.875000000000,2462103.500000000000,0.19485365353855219850
2021-05-23T00:00:00+00:00,2549754,29322,0.18052345298991900041,32628.750000000000,2379698.750000000000,0.19232171499839484847
2021-05-22T00:00:00+00:00,1616825,28182,0.22981796316814013481,32509.375000000000,2355321.250000000000,0.18918505575325184832
2021-05-21T00:00:00+00:00,2268836,34055,0.21529218754587559534,34548.125000000000,2377911.750000000000,0.18570859079508703159
2021-05-20T00:00:00+00:00,2520068,35262,0.20567707020203236858,33153.375000000000,2328943.500000000000,0.17982407481070998182
2021-05-19T00:00:00+00:00,3914576,37352,0.16903171793666268479,31904.500000000000,2296295.625000000000,0.17358791023494203025
2021-05-18T00:00:00+00:00,2480894,38417,0.17647922175178196959,29931.500000000000,1976738.250000000000,0.18006539938536892047
2021-05-17T00:00:00+00:00,1875224,29188,0.18031223647951471056,27757.000000000000,1865397.750000000000,0.18041462162460458188
2021-05-16T00:00:00+00:00,1811413,29252,0.18143986991323232371,26853.625000000000,1769929.125000000000,0.18472023022585411209
2021-05-15T00:00:00+00:00,2354734,28367,0.15543017902877499915,25668.375000000000,1638043.750000000000,0.20031401954090062783
2021-05-14T00:00:00+00:00,1797549,44492,0.20200624350282160097,25036.750000000000,1457840.875000000000,0.21946658419944573836
2021-05-13T00:00:00+00:00,1877090,22897,0.16821605967085919723,22257.428571428571,1409311.142857142857,0.22196091858467775798
2021-05-12T00:00:00+00:00,2258885,25271,0.15578775359588875596,22150.833333333333,1331348.000000000000,0.23091839507031418477
2021-05-11T00:00:00+00:00,1358117,21568,0.22085163114007780659,21526.800000000000,1145840.600000000000,0.24594452336519927054
2021-05-10T00:00:00+00:00,1590170,21021,0.17927299966566726085,21516.500000000000,1092771.500000000000,0.25221774642147963652
2021-05-09T00:00:00+00:00,1111475,21961,0.21475710528951095226,21681.666666666667,926972.000000000000,0.27653266200675042841
2021-05-08T00:00:00+00:00,756330,19770,0.30619018443360444960,21542.000000000000,834720.500000000000,0.30742044036537016649
2021-05-07T00:00:00+00:00,913111,23314,0.30865069629713588338,23314.000000000000,913111.000000000000,0.30865069629713588338
